"instance","maxdepth","ratio","solver","total_time","iter_0","iter_1","iter_2","iter_3","iter_4","iter_5","iter_6","iter_7","iter_8","iter_9","iter_10","iter_11","iter_12","iter_13","iter_14","iter_15","iter_16","iter_17","iter_18","iter_19","iter_20"
"soybean-un",2,70,"non-inc",7200,168.98,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"soybean-un",2,80,"non-inc",7200,215.63,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"splice-1-un",2,20,"non-inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"splice-1-un",2,30,"non-inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"splice-1-un",2,40,"non-inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"splice-1-un",2,50,"non-inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"splice-1-un",2,60,"non-inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"splice-1-un",2,70,"non-inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"splice-1-un",2,80,"non-inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"tic-tac-toe-un",2,20,"non-inc",7200,200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"tic-tac-toe-un",2,30,"non-inc",7200,120.53,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"tic-tac-toe-un",2,40,"non-inc",7200,259.73,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"tic-tac-toe-un",2,50,"non-inc",7200,266.52,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"tic-tac-toe-un",2,60,"non-inc",7200,419.57,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"tic-tac-toe-un",2,70,"non-inc",7200,352.2,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"tic-tac-toe-un",2,80,"non-inc",7200,1120.92,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"vote-un",2,20,"non-inc",622.88,11.09,12.74,33.87,37.84,42,27.72,29.93,54.67,30.86,20.38,22.95,25.4,28.16,65.63,13.41,29,25.49,30.23,35.04,21.75,24.72
"vote-un",2,30,"non-inc",1027.4,12.81,47.15,115.03,107.31,113.39,101.88,95.03,49.85,34.79,33.26,31.46,30.83,38.3,30.47,30.67,33.37,26.52,24.65,22.19,22.54,25.9
"vote-un",2,40,"non-inc",7200,39.92,123.49,181.3,619.92,510.67,305.79,3942.39,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"vote-un",2,50,"non-inc",7200,86.62,144.03,2044.52,1553.26,802.75,1240.16,956.73,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"vote-un",2,60,"non-inc",7200,95.59,204.72,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"vote-un",2,70,"non-inc",7200,84.46,324.98,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"vote-un",2,80,"non-inc",7200,69.47,288.06,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
