"instance","clauses","ratio","solver","total_time","iter_0","iter_1","iter_2","iter_3","iter_4","iter_5","iter_6","iter_7","iter_8","iter_9","iter_10","iter_11","iter_12","iter_13","iter_14","iter_15","iter_16","iter_17","iter_18","iter_19"
"Twitter_bintarget_small",3,50,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"Twitter_bintarget_small",3,60,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"Twitter_bintarget_small",3,70,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"Twitter_bintarget_small",3,80,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"Twitter_bintarget_small",3,90,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"adult_data_bintarget",2,10,"inc",13.09,1.25,0.47,0.47,0.48,0.47,0.47,0.47,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.48,0.47,0.48
"adult_data_bintarget",2,20,"inc",28.51,2.16,1.04,1.06,1.07,1.13,1.08,1.44,1.29,1.13,1.06,1.12,1.06,1.12,1.06,1.11,1.05,1.12,1.05,1.12,1.06
"adult_data_bintarget",2,30,"inc",44.95,3.4,1.64,1.75,1.68,2.03,1.67,1.97,1.64,1.86,1.69,1.86,1.66,1.87,1.78,1.95,1.7,1.88,1.69,1.86,1.71
"adult_data_bintarget",2,40,"inc",63.27,5.54,2.55,2.77,2.4,2.59,2.46,2.67,2.44,2.65,2.42,2.59,2.46,2.59,2.45,2.6,2.41,2.57,2.4,2.59,2.45
"adult_data_bintarget",2,50,"inc",85.61,6.03,3.38,3.77,4.01,3.67,3.39,3.4,3.47,3.51,3.12,3.7,3.19,3.53,3.18,3.45,3.14,3.6,4.08,3.61,3.3
"adult_data_bintarget",2,60,"inc",317.54,19.02,12.28,16.27,10.88,15.97,16,14.4,17.46,14.51,15.27,15.09,15.73,15.15,14.85,15.14,16.31,14.6,14.17,14.23,14.43
"adult_data_bintarget",2,70,"inc",377.13,21.76,14.08,18.6,13.37,18.64,18.52,17.73,19.43,18.35,18.46,18.75,18.26,17.73,18.12,17.73,18.21,17.61,17.77,18.01,18.77
"adult_data_bintarget",2,80,"inc",439.98,26.88,16.02,21.6,14.99,21.74,21.17,20.66,21.21,20.69,22.34,20.62,21.82,21.08,21.58,20.87,21.69,20.64,21.56,20.65,21.37
"adult_data_bintarget",2,90,"inc",491.55,29.87,17.38,24.66,18.61,25.36,23.92,23.65,24.31,23.27,24.02,22.34,27.21,22.69,23.29,22.62,24.4,22.58,22.57,22.72,23.95
"adult_data_bintarget",3,10,"inc",21.32,1.79,0.85,0.73,0.74,0.74,0.97,0.94,0.88,0.73,0.84,0.83,0.92,0.93,0.75,0.75,0.76,0.75,0.76,0.75,0.77
"adult_data_bintarget",3,20,"inc",46.13,4.04,1.57,1.62,1.71,1.89,1.64,1.75,1.58,1.86,1.58,1.82,1.68,1.88,1.56,2.18,1.62,1.88,1.66,2.29,2.1
"adult_data_bintarget",3,30,"inc",69.51,6.52,2.47,2.61,2.41,2.83,2.64,2.94,2.69,2.89,2.61,2.88,2.77,3.36,2.53,2.86,2.43,2.73,2.43,2.74,2.43
"adult_data_bintarget",3,40,"inc",114.66,9.87,4.45,4.87,4.47,5.21,4.45,5.06,4.91,5.04,4.45,5.14,4.49,5.03,4.53,5.02,4.46,5.03,4.53,5.07,4.5
"adult_data_bintarget",3,50,"inc",154.58,12.49,6.19,6.93,6.16,6.86,7.12,6.77,6.84,6.75,6.15,6.79,6.16,6.82,6.26,6.77,6.14,6.77,6.15,6.75,6.18
"adult_data_bintarget",3,60,"inc",507.32,36.02,16.66,25.84,18.99,25.83,24.09,24.89,24.03,23.64,24.26,23.81,23.99,23.59,24.34,23.64,24.64,23.57,26.68,23.77,23.78
"adult_data_bintarget",3,70,"inc",654.98,42.89,21.59,30.69,20.67,30.91,29.93,28.6,30.34,28.78,29.54,28.39,28.62,28.36,28.83,67.39,31.32,28.2,28.85,28.09,29.81
"adult_data_bintarget",3,80,"inc",709.39,49.3,23.2,33,22.25,33.81,33.15,32.56,33.95,32.42,32.61,33.03,33.48,32.33,31.8,32.57,33.38,32.27,61.28,32.14,33
"adult_data_bintarget",3,90,"inc",797.14,54.1,27.36,39.43,26.22,40.34,38.62,38.47,38.12,38.12,39.26,37.65,40.17,37.84,37.43,38.13,38.31,38.2,43.2,38.53,37.54
"credit_card_clients",2,10,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"credit_card_clients",2,20,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"credit_card_clients",2,30,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"credit_card_clients",2,40,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"credit_card_clients",2,50,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"credit_card_clients",2,60,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"credit_card_clients",2,70,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"credit_card_clients",2,80,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"credit_card_clients",2,90,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"credit_card_clients",3,10,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"credit_card_clients",3,20,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"credit_card_clients",3,30,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"credit_card_clients",3,40,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
